,ID,Datetime,SubBasin,Name,Wind_Speed(knots),Air_Pressure(mb),Distance_to_Land(km),Latitude,Longitude,Season,Storm_Category
79220,1970270N22285,1970-10-02 00:00:00,GM,GRETA,30.0,1003.0,39,21.7,-89.0,4,TS
79224,1970270N22285,1970-10-02 12:00:00,GM,GRETA,30.0,1005.0,49,21.6,-90.1,4,TS
79226,1970270N22285,1970-10-02 18:00:00,GM,GRETA,30.0,1005.0,83,21.6,-90.9,4,TS
79240,1970270N22285,1970-10-04 12:00:00,GM,GRETA,25.0,1009.0,68,22.1,-96.9,4,TS
79270,1970274N15306,1970-10-01 18:00:00,CS,NOT_NAMED,35.0,1004.0,379,13.8,-59.6,4,TS
79272,1970274N15306,1970-10-02 00:00:00,CS,NOT_NAMED,40.0,1000.0,374,13.9,-60.0,4,TS
79274,1970274N15306,1970-10-02 06:00:00,CS,NOT_NAMED,40.0,999.0,379,14.0,-60.2,4,TS
79276,1970274N15306,1970-10-02 12:00:00,CS,NOT_NAMED,40.0,999.0,336,13.7,-60.8,4,TS
79282,1970274N15306,1970-10-03 06:00:00,CS,NOT_NAMED,35.0,1005.0,291,13.3,-62.9,4,TS
79284,1970274N15306,1970-10-03 12:00:00,CS,NOT_NAMED,35.0,1003.0,331,13.6,-63.7,4,TS
79286,1970274N15306,1970-10-03 18:00:00,CS,NOT_NAMED,35.0,1004.0,349,13.7,-64.6,4,TS
79302,1970274N15306,1970-10-05 18:00:00,CS,NOT_NAMED,35.0,1004.0,314,14.9,-69.7,4,TS
79304,1970274N15306,1970-10-06 00:00:00,CS,NOT_NAMED,35.0,1004.0,303,15.3,-69.9,4,TS
79308,1970274N15306,1970-10-06 12:00:00,CS,NOT_NAMED,35.0,1005.0,250,15.8,-70.0,4,TS
79310,1970274N15306,1970-10-06 18:00:00,CS,NOT_NAMED,35.0,1004.0,248,15.7,-70.2,4,TS
79312,1970274N15306,1970-10-07 00:00:00,CS,NOT_NAMED,35.0,1000.0,263,15.6,-70.1,4,TS
79314,1970274N15306,1970-10-07 06:00:00,CS,NOT_NAMED,35.0,1002.0,297,15.3,-70.0,4,TS
79316,1970274N15306,1970-10-07 12:00:00,CS,NOT_NAMED,30.0,1003.0,264,15.4,-70.5,4,TS
79318,1970274N15306,1970-10-07 18:00:00,CS,NOT_NAMED,30.0,1004.0,179,16.1,-70.8,4,TS
79320,1970274N15306,1970-10-08 00:00:00,CS,NOT_NAMED,30.0,1004.0,94,16.9,-70.9,4,TS
79549,1970317N13278,1970-11-13 12:00:00,CS,NOT_NAMED,30.0,1005.0,141,13.8,-82.0,4,TS
79551,1970317N13278,1970-11-13 18:00:00,CS,NOT_NAMED,30.0,1004.0,129,14.2,-82.0,4,TS
79553,1970317N13278,1970-11-14 00:00:00,CS,NOT_NAMED,30.0,1004.0,116,14.6,-82.1,4,TS
79559,1970317N13278,1970-11-14 18:00:00,CS,NOT_NAMED,30.0,1005.0,64,15.8,-83.1,4,TS
79856,1971231N13308,1971-08-20 00:00:00,CS,CHLOE,35.0,1004.0,405,14.3,-63.5,3,TS
79868,1971231N13308,1971-08-21 12:00:00,CS,CHLOE,30.0,1007.0,281,15.5,-73.5,3,TS
79888,1971231N13308,1971-08-24 00:00:00,CS,CHLOE,25.0,1007.0,181,17.4,-84.0,3,TS
80084,1971247N28273,1971-09-08 00:00:00,GM,FERN,40.0,1000.0,291,26.9,-92.6,3,TS
80086,1971247N28273,1971-09-08 06:00:00,GM,FERN,45.0,1000.0,327,26.6,-92.8,3,TS
80088,1971247N28273,1971-09-08 12:00:00,GM,FERN,50.0,1000.0,354,26.4,-93.1,3,TS
80090,1971247N28273,1971-09-08 18:00:00,GM,FERN,55.0,995.0,349,26.3,-93.4,3,TS
80092,1971247N28273,1971-09-09 00:00:00,GM,FERN,65.0,987.0,325,26.4,-93.7,3,Cat1
80094,1971247N28273,1971-09-09 06:00:00,GM,FERN,80.0,993.0,281,26.7,-94.0,3,Cat1
80096,1971247N28273,1971-09-09 12:00:00,GM,FERN,80.0,992.0,228,27.1,-94.3,3,Cat1
80098,1971247N28273,1971-09-09 18:00:00,GM,FERN,75.0,992.0,179,27.5,-94.5,3,Cat1
80100,1971247N28273,1971-09-10 00:00:00,GM,FERN,70.0,988.0,116,28.0,-94.8,3,Cat1
80102,1971247N28273,1971-09-10 06:00:00,GM,FERN,65.0,988.0,45,28.5,-95.3,3,Cat1
80104,1971247N28273,1971-09-10 12:00:00,GM,FERN,60.0,979.0,11,28.5,-96.0,3,TS
80106,1971247N28273,1971-09-10 18:00:00,GM,FERN,60.0,979.0,11,28.3,-96.5,3,TS
80108,1971247N28273,1971-09-11 00:00:00,GM,FERN,55.0,988.0,11,28.0,-96.9,3,TS
80110,1971247N28273,1971-09-11 06:00:00,GM,FERN,55.0,983.0,0,27.7,-97.3,3,TS
80139,1971249N11302,1971-09-07 12:00:00,CS,EDITH,35.0,1006.0,109,12.7,-69.1,3,TS
80141,1971249N11302,1971-09-07 18:00:00,CS,EDITH,45.0,995.0,80,12.9,-70.9,3,TS
80145,1971249N11302,1971-09-08 06:00:00,CS,EDITH,65.0,993.0,200,13.2,-73.8,3,Cat1
80149,1971249N11302,1971-09-08 18:00:00,CS,EDITH,75.0,982.0,394,13.8,-77.2,3,Cat1
80155,1971249N11302,1971-09-09 12:00:00,CS,EDITH,120.0,960.0,140,14.4,-81.9,3,Cat4
80157,1971249N11302,1971-09-09 18:00:00,CS,EDITH,140.0,943.0,10,14.8,-83.2,3,Cat5
80177,1971249N11302,1971-09-12 06:00:00,GM,EDITH,35.0,1001.0,96,20.7,-91.4,3,TS
80179,1971249N11302,1971-09-12 12:00:00,GM,EDITH,35.0,1000.0,201,21.5,-92.2,3,TS
80181,1971249N11302,1971-09-12 18:00:00,GM,EDITH,35.0,1000.0,283,21.9,-92.9,3,TS
80185,1971249N11302,1971-09-13 06:00:00,GM,EDITH,45.0,998.0,329,22.3,-94.2,3,TS
80199,1971249N11302,1971-09-15 00:00:00,GM,EDITH,45.0,989.0,20,24.2,-97.6,3,TS
80203,1971249N11302,1971-09-15 12:00:00,GM,EDITH,50.0,984.0,51,25.3,-96.8,3,TS
80205,1971249N11302,1971-09-15 18:00:00,GM,EDITH,65.0,982.0,92,26.2,-96.2,3,Cat1
80207,1971249N11302,1971-09-16 00:00:00,GM,EDITH,70.0,979.0,155,27.3,-95.4,3,Cat1
80209,1971249N11302,1971-09-16 06:00:00,GM,EDITH,80.0,977.0,88,28.4,-94.6,3,Cat1
80211,1971249N11302,1971-09-16 12:00:00,GM,EDITH,85.0,978.0,29,29.5,-93.1,3,Cat2
80574,1971255N11312,1971-09-14 12:00:00,CS,IRENE:OLIVIA,25.0,1007.0,145,12.0,-61.4,3,TS
80598,1971255N11312,1971-09-17 12:00:00,CS,IRENE:OLIVIA,40.0,1005.0,184,12.3,-76.0,3,TS
80604,1971255N11312,1971-09-18 06:00:00,CS,IRENE:OLIVIA,55.0,1002.0,261,11.7,-80.5,3,TS
80608,1971255N11312,1971-09-18 18:00:00,CS,IRENE:OLIVIA,70.0,993.0,143,11.4,-82.3,3,Cat1
80610,1971255N11312,1971-09-19 00:00:00,CS,IRENE:OLIVIA,65.0,989.0,83,11.3,-82.9,3,Cat1
80632,1971255N11312,1971-09-21 18:00:00,MM,IRENE:OLIVIA,50.0,990.0,100,12.9999,-90.9015,3,TS
80640,1971255N11312,1971-09-22 18:00:00,MM,IRENE:OLIVIA,70.0,983.0,217,13.5945,-94.104,3,Cat1
80646,1971255N11312,1971-09-23 12:00:00,MM,IRENE:OLIVIA,80.0,980.0,230,13.6,-97.1,3,Cat1
80658,1971255N11312,1971-09-25 00:00:00,MM,IRENE:OLIVIA,80.0,974.0,359,15.1,-104.1,3,Cat1
80672,1971255N11312,1971-09-26 18:00:00,MM,IRENE:OLIVIA,100.0,948.0,369,19.5948,-109.896,3,Cat3
80682,1971255N11312,1971-09-28 00:00:00,MM,IRENE:OLIVIA,80.0,963.0,430,19.9,-112.6,3,Cat1
80848,1971317N12282,1971-11-14 12:00:00,CS,LAURA,35.0,1004.0,174,16.6,-82.5,4,TS
80860,1971317N12282,1971-11-16 00:00:00,CS,LAURA,60.0,998.0,100,21.0,-84.0,4,TS
80868,1971317N12282,1971-11-17 00:00:00,CS,LAURA,60.0,995.0,54,21.1,-83.3,4,TS
80872,1971317N12282,1971-11-17 12:00:00,CS,LAURA,60.0,994.0,182,20.1,-83.9,4,TS
80874,1971317N12282,1971-11-17 18:00:00,CS,LAURA,60.0,996.0,214,19.9,-84.2,4,TS
80878,1971317N12282,1971-11-18 06:00:00,CS,LAURA,50.0,1000.0,223,19.8,-84.7,4,TS
80882,1971317N12282,1971-11-18 18:00:00,CS,LAURA,50.0,1001.0,203,19.9,-85.2,4,TS
80884,1971317N12282,1971-11-19 00:00:00,CS,LAURA,50.0,1003.0,190,19.7,-85.5,4,TS
80890,1971317N12282,1971-11-19 18:00:00,CS,LAURA,45.0,1000.0,200,18.6,-85.7,4,TS
80894,1971317N12282,1971-11-20 06:00:00,CS,LAURA,50.0,1000.0,141,17.9,-86.5,4,TS
80896,1971317N12282,1971-11-20 12:00:00,CS,LAURA,55.0,1000.0,92,17.6,-87.2,4,TS
80898,1971317N12282,1971-11-20 18:00:00,CS,LAURA,60.0,997.0,57,17.2,-87.7,4,TS
80900,1971317N12282,1971-11-21 00:00:00,CS,LAURA,60.0,997.0,15,16.7,-88.2,4,TS
80947,1972145N31282,1972-05-28 12:00:00,GM,ALPHA,30.0,1012.0,29,29.8,-84.0,2,TS
80949,1972145N31282,1972-05-28 18:00:00,GM,ALPHA,30.0,1013.0,59,29.2,-84.7,2,TS
80955,1972145N31282,1972-05-29 12:00:00,GM,ALPHA,25.0,1013.0,212,27.8,-85.5,2,TS
80968,1972167N20271,1972-06-16 00:00:00,CS,AGNES,30.0,1001.0,52,20.0,-87.0,2,TS
80972,1972167N20271,1972-06-16 12:00:00,CS,AGNES,40.0,998.0,115,20.0,-86.2,2,TS
80988,1972167N20271,1972-06-18 12:00:00,GM,AGNES,65.0,986.0,203,23.8,-85.6,2,Cat1
80990,1972167N20271,1972-06-18 18:00:00,GM,AGNES,65.0,983.0,291,24.8,-85.7,2,Cat1
80992,1972167N20271,1972-06-19 00:00:00,GM,AGNES,75.0,982.0,340,26.0,-85.7,2,Cat1
80994,1972167N20271,1972-06-19 06:00:00,GM,AGNES,75.0,978.0,280,27.2,-85.7,2,Cat1
80996,1972167N20271,1972-06-19 12:00:00,GM,AGNES,75.0,978.0,137,28.5,-85.7,2,Cat1
80998,1972167N20271,1972-06-19 18:00:00,GM,AGNES,65.0,983.0,22,29.6,-85.6,2,Cat1
81815,1973230N20276,1973-08-18 12:00:00,CS,BRENDA,30.0,1007.0,89,21.0,-84.8,3,TS
81819,1973230N20276,1973-08-19 00:00:00,CS,BRENDA,50.0,992.0,0,21.3,-86.9,3,TS
81835,1973230N20276,1973-08-21 00:00:00,GM,BRENDA,70.0,977.0,69,19.4,-91.9,3,Cat1
81920,1973238N11346,1973-09-04 00:00:00,CS,CHRISTINE,30.0,1011.0,331,17.1,-62.7,3,TS
81927,1973245N21274,1973-09-01 18:00:00,CS,DELIA,30.0,1008.0,53,20.5,-86.5,3,TS
81937,1973245N21274,1973-09-03 00:00:00,GM,DELIA,40.0,1000.0,279,24.0,-88.0,3,TS
81941,1973245N21274,1973-09-03 12:00:00,GM,DELIA,60.0,997.0,355,25.9,-89.9,3,TS
81943,1973245N21274,1973-09-03 18:00:00,GM,DELIA,60.0,994.0,290,26.5,-91.0,3,TS
81949,1973245N21274,1973-09-04 12:00:00,GM,DELIA,60.0,993.0,236,27.5,-93.1,3,TS
81951,1973245N21274,1973-09-04 18:00:00,GM,DELIA,60.0,986.0,133,28.4,-94.0,3,TS
81957,1973245N21274,1973-09-05 12:00:00,GM,DELIA,45.0,988.0,48,28.1,-96.0,3,TS
82167,1973289N16278,1973-10-16 06:00:00,CS,GILDA,30.0,1008.0,187,16.3,-82.0,4,TS
82175,1973289N16278,1973-10-17 06:00:00,CS,GILDA,30.0,1005.0,285,18.4,-81.1,4,TS
82179,1973289N16278,1973-10-17 18:00:00,CS,GILDA,30.0,1002.0,224,19.1,-80.3,4,TS
82181,1973289N16278,1973-10-18 00:00:00,CS,GILDA,40.0,996.0,208,19.5,-79.9,4,TS
82568,1974241N17304,1974-08-30 18:00:00,CS,CARMEN,40.0,1001.0,137,17.0,-69.9,3,TS
82574,1974241N17304,1974-08-31 12:00:00,CS,CARMEN,65.0,988.0,102,17.0,-76.0,3,Cat1
82580,1974241N17304,1974-09-01 06:00:00,CS,CARMEN,85.0,972.0,318,17.5,-81.5,3,Cat2
82582,1974241N17304,1974-09-01 12:00:00,CS,CARMEN,105.0,960.0,242,17.7,-83.2,3,Cat3
82586,1974241N17304,1974-09-02 00:00:00,CS,CARMEN,125.0,933.0,201,18.0,-85.9,3,Cat4
82588,1974241N17304,1974-09-02 06:00:00,CS,CARMEN,130.0,928.0,97,18.4,-86.8,3,Cat4
82608,1974241N17304,1974-09-04 18:00:00,GM,CARMEN,55.0,995.0,52,20.5,-91.0,3,TS
82614,1974241N17304,1974-09-05 12:00:00,GM,CARMEN,65.0,985.0,53,21.2,-90.8,3,Cat1
82618,1974241N17304,1974-09-06 00:00:00,GM,CARMEN,65.0,983.0,91,21.9,-90.5,3,Cat1
82620,1974241N17304,1974-09-06 06:00:00,GM,CARMEN,70.0,971.0,146,22.4,-90.5,3,Cat1
82622,1974241N17304,1974-09-06 12:00:00,GM,CARMEN,80.0,969.0,196,22.9,-90.4,3,Cat1
82626,1974241N17304,1974-09-07 00:00:00,GM,CARMEN,100.0,967.0,382,24.6,-90.3,3,Cat3
82630,1974241N17304,1974-09-07 12:00:00,GM,CARMEN,110.0,950.0,256,26.8,-90.3,3,Cat3
82632,1974241N17304,1974-09-07 18:00:00,GM,CARMEN,115.0,944.0,146,27.8,-90.4,3,Cat4
82634,1974241N17304,1974-09-08 00:00:00,GM,CARMEN,130.0,937.0,45,28.7,-90.8,3,Cat4
82842,1974258N15295,1974-09-16 18:00:00,CS,FIFI:ORLENE,35.0,1005.0,100,17.0,-77.8,3,TS
82846,1974258N15295,1974-09-17 06:00:00,CS,FIFI:ORLENE,60.0,993.0,186,16.9,-79.5,3,TS
82854,1974258N15295,1974-09-18 06:00:00,CS,FIFI:ORLENE,85.0,977.0,154,16.3,-82.4,3,Cat2
82864,1974258N15295,1974-09-19 12:00:00,CS,FIFI:ORLENE,95.0,971.0,33,16.1,-87.5,3,Cat2
83285,1975237N22290,1975-08-26 00:00:00,CS,CAROLINE,25.0,1011.0,33,20.4,-77.7,3,TS
83287,1975237N22290,1975-08-26 06:00:00,CS,CAROLINE,25.0,1011.0,93,20.3,-79.0,3,TS
83289,1975237N22290,1975-08-26 12:00:00,CS,CAROLINE,25.0,1012.0,170,20.2,-80.3,3,TS
83291,1975237N22290,1975-08-26 18:00:00,CS,CAROLINE,25.0,1012.0,182,20.2,-81.6,3,TS
83293,1975237N22290,1975-08-27 00:00:00,CS,CAROLINE,25.0,1013.0,111,20.4,-82.8,3,TS
83295,1975237N22290,1975-08-27 06:00:00,CS,CAROLINE,25.0,1013.0,123,20.8,-84.0,3,TS
83297,1975237N22290,1975-08-27 12:00:00,CS,CAROLINE,25.0,1014.0,84,21.1,-85.1,3,TS
83299,1975237N22290,1975-08-27 18:00:00,CS,CAROLINE,25.0,1014.0,56,21.5,-86.3,3,TS
83301,1975237N22290,1975-08-28 00:00:00,GM,CAROLINE,25.0,1014.0,59,22.0,-87.5,3,TS
83303,1975237N22290,1975-08-28 06:00:00,GM,CAROLINE,25.0,1014.0,102,22.4,-88.8,3,TS
83305,1975237N22290,1975-08-28 12:00:00,GM,CAROLINE,25.0,1013.0,180,22.8,-90.1,3,TS
83307,1975237N22290,1975-08-28 18:00:00,GM,CAROLINE,25.0,1010.0,213,22.9,-91.0,3,TS
83309,1975237N22290,1975-08-29 00:00:00,GM,CAROLINE,30.0,1007.0,268,23.0,-91.9,3,TS
83311,1975237N22290,1975-08-29 06:00:00,GM,CAROLINE,35.0,1003.0,325,23.1,-92.6,3,TS
83313,1975237N22290,1975-08-29 12:00:00,GM,CAROLINE,40.0,999.0,379,23.2,-93.2,3,TS
83315,1975237N22290,1975-08-29 18:00:00,GM,CAROLINE,50.0,994.0,412,23.2,-93.6,3,TS
83317,1975237N22290,1975-08-30 00:00:00,GM,CAROLINE,65.0,990.0,367,23.3,-94.2,3,Cat1
83319,1975237N22290,1975-08-30 06:00:00,GM,CAROLINE,65.0,990.0,295,23.5,-94.9,3,Cat1
83321,1975237N22290,1975-08-30 12:00:00,GM,CAROLINE,65.0,989.0,223,23.7,-95.6,3,Cat1
83323,1975237N22290,1975-08-30 18:00:00,GM,CAROLINE,70.0,987.0,152,23.8,-96.3,3,Cat1
83325,1975237N22290,1975-08-31 00:00:00,GM,CAROLINE,100.0,973.0,81,24.0,-97.0,3,Cat3
83327,1975237N22290,1975-08-31 06:00:00,GM,CAROLINE,100.0,963.0,30,24.1,-97.5,3,Cat3
83519,1975256N18306,1975-09-15 00:00:00,CS,ELOISE,25.0,1009.0,411,18.3,-61.7,3,TS
83521,1975256N18306,1975-09-15 06:00:00,CS,ELOISE,25.0,1009.0,295,18.5,-62.8,3,TS
83523,1975256N18306,1975-09-15 12:00:00,CS,ELOISE,30.0,1007.0,194,18.8,-63.8,3,TS
83525,1975256N18306,1975-09-15 18:00:00,CS,ELOISE,30.0,1007.0,101,18.9,-64.8,3,TS
83545,1975256N18306,1975-09-18 06:00:00,CS,ELOISE,45.0,1000.0,22,19.9,-74.5,3,TS
83547,1975256N18306,1975-09-18 12:00:00,CS,ELOISE,40.0,1000.0,10,19.9,-75.7,3,TS
83551,1975256N18306,1975-09-19 00:00:00,CS,ELOISE,35.0,1000.0,56,20.0,-78.2,3,TS
83553,1975256N18306,1975-09-19 06:00:00,CS,ELOISE,35.0,1000.0,137,19.9,-79.1,3,TS
83555,1975256N18306,1975-09-19 12:00:00,CS,ELOISE,35.0,1000.0,182,19.9,-79.8,3,TS
83557,1975256N18306,1975-09-19 18:00:00,CS,ELOISE,35.0,1000.0,236,19.8,-81.0,3,TS
83559,1975256N18306,1975-09-20 00:00:00,CS,ELOISE,35.0,1000.0,189,19.8,-82.2,3,TS
83561,1975256N18306,1975-09-20 06:00:00,CS,ELOISE,35.0,1000.0,189,19.8,-83.4,3,TS
83563,1975256N18306,1975-09-20 12:00:00,CS,ELOISE,35.0,1006.0,212,19.9,-84.6,3,TS
83565,1975256N18306,1975-09-20 18:00:00,CS,ELOISE,35.0,1006.0,171,20.0,-85.5,3,TS
83567,1975256N18306,1975-09-21 00:00:00,CS,ELOISE,40.0,1001.0,84,20.2,-86.4,3,TS
83573,1975256N18306,1975-09-21 18:00:00,GM,ELOISE,55.0,995.0,100,22.4,-88.5,3,TS
83575,1975256N18306,1975-09-22 00:00:00,GM,ELOISE,60.0,995.0,236,23.6,-88.9,3,TS
83577,1975256N18306,1975-09-22 06:00:00,GM,ELOISE,65.0,993.0,377,24.8,-89.4,3,Cat1
83579,1975256N18306,1975-09-22 12:00:00,GM,ELOISE,75.0,986.0,359,25.8,-89.5,3,Cat1
83581,1975256N18306,1975-09-22 18:00:00,GM,ELOISE,85.0,980.0,280,26.5,-89.4,3,Cat2
83583,1975256N18306,1975-09-23 00:00:00,GM,ELOISE,95.0,968.0,198,27.3,-88.5,3,Cat2
83585,1975256N18306,1975-09-23 06:00:00,GM,ELOISE,105.0,958.0,183,28.4,-87.3,3,Cat3
83587,1975256N18306,1975-09-23 12:00:00,GM,ELOISE,110.0,955.0,22,30.2,-86.3,3,Cat3
83986,1976143N24271,1976-05-21 12:00:00,GM,NOT_NAMED,20.0,1010.0,282,24.0,-89.0,2,TS
83988,1976143N24271,1976-05-21 18:00:00,GM,NOT_NAMED,20.0,1009.0,382,24.8,-89.6,2,TS
83990,1976143N24271,1976-05-22 00:00:00,GM,NOT_NAMED,25.0,1006.0,411,25.4,-90.0,2,TS
83992,1976143N24271,1976-05-22 06:00:00,GM,NOT_NAMED,25.0,1005.0,346,26.0,-90.5,2,TS
83994,1976143N24271,1976-05-22 12:00:00,GM,NOT_NAMED,30.0,1004.0,234,27.0,-90.8,2,TS
83996,1976143N24271,1976-05-22 18:00:00,GM,NOT_NAMED,30.0,1002.0,290,26.5,-90.5,2,TS
83998,1976143N24271,1976-05-23 00:00:00,GM,NOT_NAMED,35.0,1001.0,301,26.3,-89.0,2,TS
84000,1976143N24271,1976-05-23 06:00:00,GM,NOT_NAMED,35.0,999.0,247,27.0,-88.0,2,TS
84002,1976143N24271,1976-05-23 12:00:00,GM,NOT_NAMED,40.0,998.0,146,28.5,-86.0,2,TS
84004,1976143N24271,1976-05-23 18:00:00,GM,NOT_NAMED,40.0,998.0,29,29.8,-84.0,2,TS
84187,1976231N26276,1976-08-18 00:00:00,GM,DOTTIE,20.0,1010.0,191,26.0,-84.0,3,TS
84191,1976231N26276,1976-08-18 12:00:00,GM,DOTTIE,20.0,1009.0,161,24.7,-82.7,3,TS
84197,1976231N26276,1976-08-19 06:00:00,GM,DOTTIE,30.0,1003.0,92,24.8,-82.0,3,TS
84907,1977242N27272,1977-08-29 12:00:00,GM,ANITA,20.0,1012.0,244,26.9,-88.4,3,TS
84909,1977242N27272,1977-08-29 18:00:00,GM,ANITA,25.0,1010.0,224,27.0,-88.9,3,TS
84911,1977242N27272,1977-08-30 00:00:00,GM,ANITA,30.0,1009.0,236,26.9,-89.4,3,TS
84913,1977242N27272,1977-08-30 06:00:00,GM,ANITA,40.0,1006.0,255,26.8,-89.8,3,TS
84915,1977242N27272,1977-08-30 12:00:00,GM,ANITA,50.0,1003.0,268,26.7,-90.3,3,TS
84917,1977242N27272,1977-08-30 18:00:00,GM,ANITA,65.0,997.0,290,26.5,-90.6,3,Cat1
84919,1977242N27272,1977-08-31 00:00:00,GM,ANITA,70.0,991.0,301,26.4,-91.0,3,Cat1
84921,1977242N27272,1977-08-31 06:00:00,GM,ANITA,75.0,988.0,316,26.3,-91.4,3,Cat1
84923,1977242N27272,1977-08-31 12:00:00,GM,ANITA,75.0,986.0,335,26.2,-91.8,3,Cat1
84925,1977242N27272,1977-08-31 18:00:00,GM,ANITA,80.0,985.0,362,26.1,-92.3,3,Cat1
84927,1977242N27272,1977-09-01 00:00:00,GM,ANITA,80.0,979.0,403,25.9,-92.8,3,Cat1
84929,1977242N27272,1977-09-01 06:00:00,GM,ANITA,85.0,972.0,340,25.8,-93.7,3,Cat2
84931,1977242N27272,1977-09-01 12:00:00,GM,ANITA,90.0,963.0,246,25.5,-94.7,3,Cat2
84933,1977242N27272,1977-09-01 18:00:00,GM,ANITA,110.0,945.0,176,25.2,-95.5,3,Cat3
84935,1977242N27272,1977-09-02 00:00:00,GM,ANITA,140.0,931.0,138,24.6,-96.2,3,Cat5
84937,1977242N27272,1977-09-02 06:00:00,GM,ANITA,150.0,926.0,69,24.2,-97.1,3,Cat5
84946,1977246N27274,1977-09-03 06:00:00,GM,BABE,25.0,1007.0,335,26.8,-86.3,3,TS
84950,1977246N27274,1977-09-03 18:00:00,GM,BABE,35.0,1005.0,166,27.6,-88.5,3,TS
84956,1977246N27274,1977-09-04 12:00:00,GM,BABE,45.0,1003.0,268,26.8,-91.7,3,TS
84958,1977246N27274,1977-09-04 18:00:00,GM,BABE,50.0,1000.0,195,27.5,-91.7,3,TS
84962,1977246N27274,1977-09-05 06:00:00,GM,BABE,65.0,995.0,62,28.7,-91.4,3,Cat1
85154,1977290N17277,1977-10-16 18:00:00,CS,FRIEDA,25.0,1011.0,204,17.3,-83.2,4,TS
85156,1977290N17277,1977-10-17 00:00:00,CS,FRIEDA,30.0,1010.0,193,17.3,-83.4,4,TS
85158,1977290N17277,1977-10-17 06:00:00,CS,FRIEDA,30.0,1009.0,183,17.3,-83.6,4,TS
85160,1977290N17277,1977-10-17 12:00:00,CS,FRIEDA,40.0,1008.0,162,17.2,-83.9,4,TS
85162,1977290N17277,1977-10-17 18:00:00,CS,FRIEDA,45.0,1007.0,148,17.2,-84.4,4,TS
85164,1977290N17277,1977-10-18 00:00:00,CS,FRIEDA,50.0,1006.0,156,17.3,-85.0,4,TS
85166,1977290N17277,1977-10-18 06:00:00,CS,FRIEDA,40.0,1005.0,167,17.4,-85.8,4,TS
85168,1977290N17277,1977-10-18 12:00:00,CS,FRIEDA,30.0,1006.0,149,17.5,-86.6,4,TS
85170,1977290N17277,1977-10-18 18:00:00,CS,FRIEDA,25.0,1008.0,79,17.6,-87.4,4,TS
85172,1977290N17277,1977-10-19 00:00:00,CS,FRIEDA,20.0,1010.0,0,17.6,-88.3,4,TS
85249,1978212N26263,1978-07-30 18:00:00,GM,AMELIA,30.0,1006.0,20,25.7,-97.0,3,TS
85251,1978212N26263,1978-07-31 00:00:00,GM,AMELIA,45.0,1005.0,0,26.4,-97.4,3,TS
85260,1978218N25270,1978-08-05 12:00:00,GM,BESS,20.0,1012.0,424,25.3,-90.4,3,TS
85262,1978218N25270,1978-08-05 18:00:00,GM,BESS,20.0,1012.0,446,25.1,-91.0,3,TS
85264,1978218N25270,1978-08-06 00:00:00,GM,BESS,25.0,1011.0,441,24.8,-91.8,3,TS
85266,1978218N25270,1978-08-06 06:00:00,GM,BESS,30.0,1010.0,441,24.5,-92.5,3,TS
85268,1978218N25270,1978-08-06 12:00:00,GM,BESS,30.0,1009.0,423,24.2,-93.3,3,TS
85270,1978218N25270,1978-08-06 18:00:00,GM,BESS,35.0,1008.0,373,23.9,-94.0,3,TS
85272,1978218N25270,1978-08-07 00:00:00,GM,BESS,40.0,1007.0,285,23.3,-95.0,3,TS
85274,1978218N25270,1978-08-07 06:00:00,GM,BESS,40.0,1006.0,212,22.8,-95.7,3,TS
85276,1978218N25270,1978-08-07 12:00:00,GM,BESS,40.0,1005.0,131,22.2,-96.2,3,TS
85278,1978218N25270,1978-08-07 18:00:00,GM,BESS,45.0,1006.0,72,21.6,-96.6,3,TS
85280,1978218N25270,1978-08-08 00:00:00,GM,BESS,45.0,1007.0,56,21.1,-96.8,3,TS
85282,1978218N25270,1978-08-08 06:00:00,GM,BESS,40.0,1008.0,0,20.4,-96.9,3,TS
85348,1978220N13325,1978-08-11 00:00:00,CS,CORA,45.0,1008.0,146,12.0,-60.9,3,TS
85350,1978220N13325,1978-08-11 06:00:00,CS,CORA,35.0,1008.0,145,12.0,-62.8,3,TS
85352,1978220N13325,1978-08-11 12:00:00,CS,CORA,30.0,1008.0,180,12.1,-64.8,3,TS
85354,1978220N13325,1978-08-11 18:00:00,CS,CORA,30.0,1009.0,167,12.1,-66.8,3,TS
85356,1978220N13325,1978-08-12 00:00:00,CS,CORA,30.0,1010.0,89,12.2,-68.8,3,TS
85368,1978239N23272,1978-08-26 12:00:00,GM,DEBRA,25.0,1010.0,212,23.4,-88.4,3,TS
85374,1978239N23272,1978-08-27 06:00:00,GM,DEBRA,25.0,1008.0,396,24.5,-91.4,3,TS
85380,1978239N23272,1978-08-28 00:00:00,GM,DEBRA,25.0,1006.0,330,25.8,-93.8,3,TS
85386,1978239N23272,1978-08-28 18:00:00,GM,DEBRA,40.0,1002.0,101,28.7,-94.1,3,TS
85388,1978239N23272,1978-08-29 00:00:00,GM,DEBRA,50.0,1000.0,22,29.6,-93.6,3,TS
85733,1978257N11298,1978-09-14 18:00:00,CS,GRETA,35.0,1004.0,140,13.0,-69.0,3,TS
85741,1978257N11298,1978-09-15 18:00:00,CS,GRETA,50.0,1000.0,270,13.7,-74.2,3,TS
85743,1978257N11298,1978-09-16 00:00:00,CS,GRETA,55.0,995.0,314,13.8,-75.3,3,TS
